Chainage,Pipe_No.,Heat_No.,Coating _No.,Thk_mm,Stringing_Length_m,Actual_Length_m,Str_Rpt,Str_Date,Bend_Rpt,Bend_Date,Bend_Deg,Bend_Type,CC _Rpt,CC_Date,Weld_Line_No.,Weld_KM,Weld_Pre_Fix,Weld_Joint_No,weld_Rpt,weld _Date,WPS_no,RT_Rpt,RT_Date,Weld_Repair_Result,Weld_Repair_Rpt,Weld_repair_Date,UT_Rpt,UT_Date,JC_Rpt,JC_Date,Remarks
,L12307257,A261016,B1E00968,9.53,11.81,11.81,18,03.10.2023,,,,,,,A,KM10,FT,65,5,06.10.2023,2,137,09.10.2023,ACC,,,,,,,CONTANOR YARD HDD
,L12308263,A261016,B1E02543,9.53,11.96,11.96,18,03.10.2023,,,,,,,A,KM10,FT,66,44,28.01.2024,2,288,30.01.2024,ACC,,,,,,,CONTANOR YARD HDD
,L12305638,A162734,B1E00990,9.53,11.91,11.91,18,03.10.2023,,,,,,,A,KM10,FT,67,5,06.10.2023,2,131,08.10.2023,ACC,,,,,,,CONTANOR YARD HDD
,L12306715,A262726,B1E01225,9.53,12.13,12.13,18,03.10.2023,,,,,,,A,KM10,FT,68,5,06.10.2023,2,132,08.10.2023,ACC,,,,,,,CONTANOR YARD HDD
,L12306731,A162732,B1E01211,9.53,12.13,12.13,55,28.01.2024,,,,,,,A,KM10,FT,69,45,29.01.2024,2,288,30.01.2024,ACC,,,,,,,CONTANOR YARD HDD
,L12308210,A161003,B1E02532,9.53,12.02,12.02,55,28.01.2024,,,,,,,A,KM10,FT,70,45,29.01.2024,2,288,30.01.2024,ACC,,,,,,,CONTANOR YARD HDD
,L12306744,A262726,B1E01542,9.53,12.14,12.14,55,28.01.2024,,,,,,,A,KM10,FT,71,45,29.01.2024,2,292,31.01.2024,ACC,,,,,,,CONTANOR YARD HDD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTANOR YARD HDD
,L12305683,A262740,B1E01021,9.53,12.14,12.14,16,02.10.2023,,,,,,,,,,,,,,,,,,,,,,,
,L12308085,A161013,B1E02048,9.53,11.81,11.81,15,27.09.2023,,,,,,,A,KM10,M,74,22,03.10.2023,1,120,05.10.2023,ACC,,,,,17,25.10.2023,
,L12306028,A262723,B1E02651,9.53,11.78,11.78,15,27.09.2023,,,,,,,A,KM10,M,75,21,30.09.2023,1,120,05.10.2023,ACC,,,,,17,25.10.2023,
,L12308304,A162727,B1E02572,9.53,12.13,12.13,15,27.09.2023,,,,,,,A,KM10,M,76,21,30.09.2023,1,120,05.10.2023,ACC,,,,,17,25.10.2023,
,L12307446,A261010,B1E00599,9.53,11.94,11.94,15,27.09.2023,,,,,,,A,KM10,M,77,21,30.09.2023,1,120,05.10.2023,ACC,,,,,18,27.10.2023,
,L12307621,A261008,B1E02301,9.53,10.79,10.79,15,27.09.2023,,,,,,,A,KM10,M,78,20,29.09.2023,1,120,05.10.2023,ACC,,,,,18,27.10.2023,
,L12306542,A262726,B1E01250,9.53,12.14,12.14,15,27.09.2023,,,,,,,A,KM10,M,79,20,29.09.2023,1,121,05.10.2023,ACC,,,,,18,27.10.2023,
,L12305939,A162727,B1E02687,9.53,12.14,12.14,15,27.09.2023,,,,,,,A,KM10,M,80,20,29.09.2023,1,121,05.10.2023,ACC,,,,,19,28.10.2023,
,L12307725,A161009,B1E02219,9.53,11.91,11.91,15,27.09.2023,,,,,,,A,KM10,M,81,19,28.09.2023,1,121,05.10.2023,ACC,,,,,19,28.10.2023,
,L12306334,A162739,B1E00195,9.53,12.13,12.13,15,27.09.2023,,,,,,,A,KM10,M,82,19,28.09.2023,1,121,05.10.2023,ACC,,,,,19,28.10.2023,
,L12306997,A161015,B1E00516,9.53,11.97,11.97,15,27.09.2023,,,,,,,A,KM10,M,83,19,28.09.2023,1,121,05.10.2023,ACC,,,,,19,28.10.2023,
,L12305671,A162730,B1E01026,9.53,12.14,12.14,14,26.09.2023,,,,,,,A,KM11,M,1,19,28.09.2023,1,122,05.10.2023,ACC,,,,,20,03.11.2023,
